"Old","New","old","new"
"U+8602","U+854A","蘂","蕊"
"U+820D","U+820E","舍","舎"
"U+51A9","U+5199","冩","写"
"U+5BEB","U+5199","寫","写"
"U+7151","U+716E","煑","煮"
"U+8675","U+86C7","虵","蛇"
"U+91CB","U+91C8","釋","釈"
"U+57A8","U+5B88","垨","守"
"U+5492","U+546A","咒","呪"
"U+58FD","U+5BFF","壽","寿"
"U+6536","U+53CE","收","収"
"U+9F9D","U+79CB","龝","秋"
"U+7E61","U+7E4D","繡","繍"
"U+5F9E","U+5F93","從","従"
"U+6F81","U+6E0B","澁","渋"
"U+7378","U+7363","獸","獣"
"U+8655","U+51E6","處","処"
"U+751E","U+5617","甞","嘗"
"U+5C07","U+5C06","將","将"
"U+67A9","U+677E","枩","松"
"U+71D2","U+713C","燒","焼"
"U+7A31","U+79F0","稱","称"
"U+7A6A","U+79F0","穪","称"
"U+8B49","U+8A3C","證","証"
"U+91AC","U+91A4","醬","醤"
"U+4E58","U+4E57","乘","乗"
"U+5269","U+5270","剩","剰"
"U+5872","U+5834","塲","場"
"U+58E4","U+58CC","壤","壌"
"U+5B43","U+5B22","孃","嬢"
"U+689D","U+6761","條","条"
"U+6DE8","U+6D44","淨","浄"
"U+758A","U+7573","疊","畳"
"U+7582","U+7573","疂","畳"
"U+8B93","U+8B72","讓","譲"
"U+91C0","U+91B8","釀","醸"
"U+991D","U+98FE","餝","飾"
"U+89F8","U+89E6","觸","触"
"U+8123","U+5507","脣","唇"
"U+5BE2","U+5BDD","寢","寝"
"U+613C","U+614E","愼","慎"
"U+771E","U+771F","眞","真"
"U+5204","U+5203","刄","刃"
"U+76E1","U+5C3D","盡","尽"
"U+9771","U+976D","靱","靭"
"U+5716","U+56F3","圖","図"
"U+57C0","U+5782","埀","垂"
"U+7CB9","U+7C8B","粹","粋"
"U+9189","U+9154","醉","酔"
"U+96A8","U+968F","隨","随"
"U+9AD3","U+9AC4","髓","髄"
"U+6578","U+6570","數","数"
"U+6919","U+6749","椙","杉"
"U+6766","U+6749","杦","杉"
"U+4E17","U+4E16","丗","世"
"U+7552","U+755D","畒","畝"
"U+6816","U+68F2","栖","棲"
"U+8072","U+58F0","聲","声"
"U+975C","U+9759","靜","静"
"U+9F4A","U+6589","齊","斉"
"U+651D","U+6442","攝","摂"
"U+87EC","U+8749","蟬","蝉"
"U+5C08","U+5C02","專","専"
"U+6230","U+6226","戰","戦"
"U+6DFA","U+6D45","淺","浅"
"U+6F5B","U+6F5C","潛","潜"
"U+8229","U+8239","舩","船"
"U+8CE4","U+8CCE","賤","賎"
"U+9322","U+92AD","錢","銭"
"U+79AA","U+7985","禪","禅"
"U+66FE","U+66FD","曾","曽"
"U+8E08","U+758E","踈","疎"
"U+8613","U+8607","蘓","蘇"
"U+9F21","U+9F20","鼡","鼠"
"U+96D9","U+53CC","雙","双"
"U+58EF","U+58EE","壯","壮"
"U+641C","U+635C","搜","捜"
"U+63D2","U+633F","插","挿"
"U+63F7","U+633F","揷","挿"
"U+6414","U+63BB","搔","掻"
"U+5DE2","U+5DE3","巢","巣"
"U+722D","U+4E89","爭","争"
"U+7A97","U+7A93","窗","窓"
"U+7ABB","U+7A93","窻","窓"
"U+7E3D","U+7DCF","總","総"
"U+838A","U+8358","莊","荘"
"U+5E84","U+8358","庄","荘"
"U+88DD","U+88C5","裝","装"
"U+9A37","U+9A12","騷","騒"
"U+81DF","U+81D3","臟","臓"
"U+85CF","U+8535","藏","蔵"
"U+5C6C","U+5C5E","屬","属"
"U+7E8C","U+7D9A","續","続"
"U+591B","U+591A","夛","多"
"U+58AE","U+5815","墮","堕"
"U+8EB0","U+4F53","躰","体"
"U+8EC6","U+4F53","軆","体"
"U+9AD4","U+4F53","體","体"
"U+5C0D","U+5BFE","對","対"
"U+5E36","U+5E2F","帶","帯"
"U+81FA","U+53F0","臺","台"
"U+7027","U+6EDD","瀧","滝"
"U+64C7","U+629E","擇","択"
"U+6FA4","U+6CA2","澤","沢"
"U+55AE","U+5358","單","単"
"U+64D4","U+62C5","擔","担"
"U+81BD","U+80C6","膽","胆"
"U+5718","U+56E3","團","団"
"U+5F48","U+5F3E","彈","弾"
"U+65B7","U+65AD","斷","断"
"U+803B","U+6065","耻","恥"
"U+7661","U+75F4","癡","痴"
"U+7A49","U+7A1A","穉","稚"
"U+9072","U+9045","遲","遅"
"U+665D","U+663C","晝","昼"
"U+87F2","U+866B","蟲","虫"
"U+9444","U+92F3","鑄","鋳"
"U+807D","U+8074","聽","聴"
"U+73CE","U+73CD","珎","珍"
"U+93AD","U+93AE","鎭","鎮"
"U+58FA","U+58F7","壺","壷"
"U+974D","U+9DB4","靍","鶴"
"U+9295","U+9244","銕","鉄"
"U+9435","U+9244","鐵","鉄"
"U+7E92","U+7E8F","纒","纏"
"U+8F49","U+8EE2","轉","転"
"U+985A","U+985B","顚","顛"
"U+9EDE","U+70B9","點","点"
"U+50B3","U+4F1D","傳","伝"
"U+83B5","U+514E","莵","兎"
"U+5721","U+571F","圡","土"
"U+5D8C","U+5CF6","嶌","島"
"U+5D8B","U+5CF6","嶋","島"
"U+76DC","U+76D7","盜","盗"
"U+71C8","U+706F","燈","灯"
"U+7576","U+5F53","當","当"
"U+79B1","U+7977","禱","祷"
"U+8FEF","U+9003","迯","逃"
"U+4EC2","U+50CD","仂","働"
"U+4EDD","U+540C","仝","同"
"U+5FB7","U+5FB3","德","徳"
"U+7368","U+72EC","獨","独"
"U+8B80","U+8AAD","讀","読"
